particleid,tot_vol_ft,hypvol_ft,head_strt,head_end,z_elevation,total_residence_time_days,total_length_ft,particle_velocity_ft_per_day,flow_rate_cubic_ft_per_day,hydraulic_gradient,x_cell_size_ft,y_cell_size_ft,z_cell_size_ft
169,12675.0,0.0,1e+30,1e+30,1600.125,1522.2786,94.42668,0.14840356,0.0,0.0,5.0,5.0,0.5
170,12187.5,0.0,1e+30,1e+30,1600.125,1636.431,90.022064,0.15652332,0.0,0.0,5.0,5.0,0.5
171,11700.0,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1600.125,1642.0032,85.40484,0.15773852,0.0,0.0,5.0,5.0,0.5
172,11212.5,0.0,1e+30,1e+30,1600.125,637.5036,77.99932,0.16761914,0.0,0.0,5.0,5.0,0.5
173,12187.5,0.0,1e+30,1e+30,1599.875,972.17706,83.07776,0.17701484,0.0,0.0,5.0,5.0,0.5
174,12187.5,0.0,1e+30,1e+30,1599.875,3869.4727,88.58559,0.1481095,0.0,0.0,5.0,5.0,0.5
175,8775.0,0.0,1e+30,1e+30,1599.9688,64943.914,88.42623,0.41605395,0.0,0.0,5.0,5.0,0.5
176,3900.0,0.0,-5e+29,-2.5e+29,1600.2656,6953.236,25.386955,0.013419046,0.0,-9.847577128785742e+27,5.0,5.0,0.5
177,5850.0,0.0,-8.333333333333333e+28,8.333333333333333e+28,1600.2188,12359.06,37.444855,0.008259215,0.0,-4.450989804614479e+27,5.0,5.0,0.5
178,5362.5,0.0,-2.7272727272727276e+29,-9.090909090909092e+28,1600.2031,11875.757,34.02748,0.0071491445,0.0,-5.343274790029873e+27,5.0,5.0,0.5
179,18037.5,0.0,5e+29,5.405405405405405e+29,1600.1562,16129.284,145.07437,0.102069646,0.0,-2.7944660498385423e+26,5.0,5.0,0.5
180,17062.5,0.0,5.857142857142857e+29,6.285714285714286e+29,1600.1562,8636.767,132.67142,0.110426515,0.0,-3.230322231411857e+26,5.0,5.0,0.5
181,16087.5,0.0,6.06060606060606e+29,6.666666666666666e+29,1600.1562,6160.2188,125.81903,0.11940274,0.0,-4.816923182379212e+26,5.0,5.0,0.5
182,16087.5,0.0,6.666666666666666e+29,7.272727272727273e+29,1599.9688,5054.563,121.19879,0.12481119,0.0,-5.000549910937631e+26,5.0,5.0,0.5
183,16575.0,0.0,7.941176470588235e+29,8.529411764705883e+29,1599.875,3906.0369,126.002815,0.12055558,0.0,-4.668429772513395e+26,5.0,5.0,0.5
184,16087.5,0.0,8.484848484848486e+29,9.090909090909091e+29,1599.875,3215.1294,120.41052,0.12575859,0.0,-5.033286075618668e+26,5.0,5.0,0.5
185,15600.0,0.0,9.375e+29,9.6875e+29,1599.875,2383.714,115.35313,0.12854853,0.0,-2.7090726485848057e+26,5.0,5.0,0.5
186,15112.5,0.0,1e+30,1e+30,1599.875,1944.3912,110.35433,0.13238345,0.0,0.0,5.0,5.0,0.5
187,14625.0,0.0,1e+30,1e+30,1599.875,1551.8047,105.313484,0.1368926,0.0,0.0,5.0,5.0,0.5
188,14137.5,0.0,1e+30,1e+30,1599.875,1355.8824,100.35826,0.14118834,0.0,0.0,5.0,5.0,0.5
189,13650.0,0.0,1e+30,1e+30,1599.875,1084.827,94.46913,0.15114512,0.0,0.0,5.0,5.0,0.5
190,13162.5,0.0,9.999999999999999e+29,9.999999999999999e+29,1599.875,1101.354,92.41292,0.15744664,0.0,0.0,5.0,5.0,0.5
191,14137.5,0.0,1e+30,1e+30,1599.875,2094.9333,100.44432,0.1326585,0.0,0.0,5.0,5.0,0.5
192,9750.0,0.0,1e+30,1e+30,1599.9688,84283.25,96.55316,4.130027,0.0,0.0,5.0,5.0,0.5
193,4875.0,0.0,-6.0000000000000005e+29,-4.0000000000000004e+29,1600.25,7780.4336,33.04234,0.013727881,0.0,-6.052840207018108e+27,5.0,5.0,0.5
194,6825.0,0.0,-2.142857142857143e+29,-7.142857142857143e+28,1600.2188,13641.299,44.81814,0.008746804,0.0,-3.1874849969556786e+27,5.0,5.0,0.5
195,6337.5,0.0,-6.153846153846154e+29,-4.615384615384616e+29,1600.2188,15730.238,43.362907,0.00794095,0.0,-3.547874509259797e+27,5.0,5.0,0.5
196,19012.5,0.0,4.230769230769231e+29,4.6153846153846155e+29,1600.1562,17300.361,152.71028,0.097270615,0.0,-2.5185952193899118e+26,5.0,5.0,0.5
197,17550.0,0.0,4.722222222222223e+29,5.277777777777778e+29,1600.1562,7804.655,137.12863,0.10790562,0.0,-4.051346163865526e+26,5.0,5.0,0.5
198,17062.5,0.0,5.1428571428571426e+29,5.714285714285714e+29,1599.9688,7105.35,132.37506,0.11482712,0.0,-4.31673887029832e+26,5.0,5.0,0.5
199,18037.5,0.0,6.486486486486488e+29,7.027027027027027e+29,1599.875,5914.1816,137.41542,0.11113377,0.0,-3.933623595131901e+26,5.0,5.0,0.5
200,17550.0,0.0,6.944444444444445e+29,7.5e+29,1599.875,5002.319,131.45195,0.114926085,0.0,-4.226301361417696e+26,5.0,5.0,0.5
201,17062.5,0.0,7.428571428571429e+29,8.000000000000001e+29,1599.875,3826.1707,126.12255,0.11925248,0.0,-4.5307406729353866e+26,5.0,5.0,0.5
202,16575.0,0.0,7.941176470588235e+29,8.529411764705883e+29,1599.875,2983.038,120.50765,0.12695625,0.0,-4.881310713261837e+26,5.0,5.0,0.5
203,16087.5,0.0,8.484848484848486e+29,9.090909090909091e+29,1599.875,2250.813,114.87174,0.1307093,0.0,-5.275976442921357e+26,5.0,5.0,0.5
204,15600.0,0.0,9.375e+29,9.6875e+29,1599.875,1812.4045,109.96424,0.13440216,0.0,-2.8418329184021466e+26,5.0,5.0,0.5
205,15112.5,0.0,1e+30,1e+30,1599.875,1510.8398,107.81238,0.13796856,0.0,0.0,5.0,5.0,0.5
206,16087.5,0.0,1e+30,1e+30,1599.875,2899.932,118.64014,0.13239355,0.0,0.0,5.0,5.0,0.5
207,15600.0,0.0,1e+30,1e+30,1599.875,2079.669,111.382034,0.123474166,0.0,0.0,5.0,5.0,0.5
208,12187.5,0.0,1e+30,1e+30,1599.9688,43115.383,105.90924,2.9347982,0.0,0.0,5.0,5.0,0.5
209,10725.0,0.0,1e+30,1e+30,1599.9688,84700.7,103.647705,4.490333,0.0,0.0,5.0,5.0,0.5
210,8775.0,0.0,1e+30,1e+30,1599.8906,97263.33,101.53304,260.3034,0.0,0.0,5.0,5.0,0.5
211,6337.5,0.0,-6.923076923076924e+29,-5.384615384615385e+29,1600.5938,24139.652,45.642056,2.178525,0.0,-3.370710458197403e+27,5.0,5.0,0.5
212,5850.0,0.0,-6.666666666666666e+29,-5.000000000000001e+29,1600.2656,9978.372,40.275978,0.012862138,0.0,-4.138115933545907e+27,5.0,5.0,0.5
213,7800.0,0.0,-3.125e+29,-1.8750000000000002e+29,1600.2188,14134.223,51.861004,0.009510099,0.0,-2.4102888617335816e+27,5.0,5.0,0.5
214,7312.5,0.0,-4.0000000000000004e+29,-2.6666666666666667e+29,1600.2188,11992.318,47.26776,0.008413843,0.0,-2.820809149035534e+27,5.0,5.0,0.5
215,19500.0,0.0,3.8750000000000004e+29,4.25e+29,1600.1562,17929.922,159.83952,0.09520944,0.0,-2.3461030927874412e+26,5.0,5.0,0.5
216,19012.5,0.0,3.974358974358974e+29,4.3589743589743596e+29,1600.1562,9547.88,145.5045,0.099626355,0.0,-2.6433229286104653e+26,5.0,5.0,0.5
217,18037.5,0.0,4.324324324324324e+29,4.8648648648648646e+29,1599.9688,7791.6553,139.4492,0.10913994,0.0,-3.876254055295548e+26,5.0,5.0,0.5
218,19500.0,0.0,5.250000000000001e+29,5.75e+29,1599.875,7707.829,148.18965,0.10344583,0.0,-3.3740547668151034e+26,5.0,5.0,0.5
219,17550.0,0.0,6.944444444444445e+29,7.5e+29,1599.875,5742.99,138.50621,0.11499736,0.0,-4.01105159287331e+26,5.0,5.0,0.5
220,18037.5,0.0,6.486486486486488e+29,7.027027027027027e+29,1599.875,4869.6455,133.30363,0.11298909,0.0,-4.054957255936116e+26,5.0,5.0,0.5
221,17550.0,0.0,6.944444444444445e+29,7.5e+29,1599.875,3628.5488,126.5334,0.12393691,0.0,-4.3905842174227725e+26,5.0,5.0,0.5
222,17062.5,0.0,7.428571428571429e+29,8.000000000000001e+29,1599.875,2999.0942,121.11521,0.123479806,0.0,-4.718057826210975e+26,5.0,5.0,0.5
223,16575.0,0.0,8.23529411764706e+29,8.823529411764705e+29,1599.875,2392.338,118.480576,0.12680548,0.0,-4.964824751481667e+26,5.0,5.0,0.5
224,17550.0,0.0,9.444444444444446e+29,9.722222222222223e+29,1599.875,3704.551,130.65561,0.1208008,0.0,-2.1260302533170716e+26,5.0,5.0,0.5
225,17062.5,0.0,1e+30,1e+30,1599.875,2997.1963,124.4452,0.12583065,0.0,0.0,5.0,5.0,0.5
226,16575.0,0.0,1e+30,1e+30,1599.875,2318.276,118.29705,0.116573796,0.0,0.0,5.0,5.0,0.5
227,12675.0,0.0,1e+30,1e+30,1599.9688,52254.6,113.34976,9.336262,0.0,0.0,5.0,5.0,0.5
228,11700.0,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1599.9688,86100.586,111.34835,8.474345,0.0,0.0,5.0,5.0,0.5
229,6825.0,0.0,-7.142857142857143e+29,-5.714285714285714e+29,1600.3125,13605.232,48.56838,0.0157193,0.0,-2.9413611782131696e+27,5.0,5.0,0.5
230,8775.0,0.0,-3.888888888888889e+29,-2.7777777777777776e+29,1600.2188,14948.826,58.92287,0.009474176,0.0,-1.8857043099195436e+27,5.0,5.0,0.5
231,8287.5,0.0,-5.2941176470588236e+29,-4.11764705882353e+29,1600.2188,15759.769,55.928513,0.008781593,0.0,-2.1035256153015433e+27,5.0,5.0,0.5
232,20962.5,0.0,2.9069767441860467e+29,3.255813953488372e+29,1600.1562,18786.295,166.96704,0.08926247,0.0,-2.0892578989267757e+26,5.0,5.0,0.5
233,19500.0,0.0,3.25e+29,3.75e+29,1600.1562,9201.541,151.14719,0.09871467,0.0,-3.308033793471195e+26,5.0,5.0,0.5
234,19012.5,0.0,3.58974358974359e+29,4.102564102564102e+29,1599.9688,8608.11,146.5622,0.10628194,0.0,-3.4989958593044435e+26,5.0,5.0,0.5
235,20475.0,0.0,4.642857142857143e+29,5.000000000000001e+29,1599.875,8154.977,153.5498,0.099066935,0.0,-2.3259088988729396e+26,5.0,5.0,0.5
236,18037.5,0.0,6.486486486486488e+29,7.027027027027027e+29,1599.875,6611.5215,145.58215,0.112191185,0.0,-3.7129588223031156e+26,5.0,5.0,0.5
