nlay,nrow,ncol,elevation
0,141,253,1601.2384033203125
0,141,254,1601.2381591796875
0,141,259,1601.0968017578125
0,141,260,1601.0511474609375
0,141,261,1601.0274658203125
0,141,262,1600.97998046875
0,142,244,1601.2430419921875
0,142,245,1601.2423095703125
0,142,246,1601.2420654296875
0,142,247,1601.241455078125
0,142,248,1601.2410888671875
0,142,249,1601.2403564453125
0,142,250,1601.239990234375
0,142,251,1601.2392578125
0,142,252,1601.23876953125
0,142,253,1601.237548828125
0,142,254,1601.236572265625
0,142,255,1601.23095703125
0,142,256,1601.2252197265625
0,142,257,1601.1986083984375
0,142,258,1601.1639404296875
0,142,259,1601.143310546875
0,142,260,1601.099853515625
0,142,261,1601.074462890625
0,143,243,1601.244384765625
0,143,244,1601.243896484375
0,143,245,1601.242919921875
0,143,246,1601.2425537109375
0,143,247,1601.24169921875
0,143,248,1601.241455078125
0,143,249,1601.240478515625
0,143,250,1601.2401123046875
0,143,251,1601.2391357421875
0,143,252,1601.238525390625
0,143,253,1601.23681640625
0,143,254,1601.235595703125
0,143,255,1601.229248046875
0,143,256,1601.223876953125
0,143,257,1601.205078125
0,143,258,1601.1768798828125
0,143,259,1601.1607666015625
0,143,260,1601.11962890625
0,144,243,1601.24609375
0,144,244,1601.245361328125
0,144,245,1601.244140625
0,144,246,1601.24365234375
0,144,247,1601.24267578125
0,144,248,1601.241943359375
0,144,249,1601.2410888671875
0,144,250,1601.2406005859375
0,144,251,1601.2392578125
0,144,252,1601.238525390625
0,144,253,1601.236572265625
0,144,254,1601.235107421875
0,144,255,1601.2298583984375
0,144,256,1601.22607421875
0,144,257,1601.214599609375
0,144,258,1601.1973876953125
0,144,259,1601.18603515625
0,145,242,1601.2486572265625
0,145,243,1601.2470703125
0,145,244,1601.246337890625
0,145,245,1601.2449951171875
0,145,246,1601.244384765625
0,145,247,1601.2430419921875
0,145,248,1601.242431640625
0,145,249,1601.2413330078125
0,145,250,1601.2408447265625
0,145,251,1601.2396240234375
0,145,252,1601.23876953125
0,145,253,1601.2366943359375
0,145,254,1601.2354736328125
0,145,255,1601.23095703125
0,145,256,1601.22802734375
0,145,257,1601.2191162109375
0,145,258,1601.2056884765625
0,145,259,1601.19677734375
0,146,240,1601.251220703125
0,146,241,1601.2506103515625
0,146,242,1601.25
0,146,243,1601.24853515625
0,146,244,1601.247802734375
0,146,245,1601.246337890625
0,146,246,1601.2454833984375
0,146,247,1601.244384765625
0,146,248,1601.24365234375
0,146,249,1601.242431640625
0,146,250,1601.24169921875
0,146,251,1601.2403564453125
0,146,252,1601.2396240234375
0,146,253,1601.23779296875
0,146,254,1601.23681640625
0,146,255,1601.23388671875
0,146,256,1601.232177734375
0,146,257,1601.2275390625
0,147,240,1601.2525634765625
0,147,241,1601.251220703125
0,147,242,1601.2506103515625
0,147,243,1601.249267578125
0,147,244,1601.24853515625
0,147,245,1601.2471923828125
0,147,246,1601.2464599609375
0,147,247,1601.2451171875
0,147,248,1601.244384765625
0,147,249,1601.242919921875
0,147,250,1601.2423095703125
0,147,251,1601.24072265625
0,147,252,1601.240234375
0,147,253,1601.238525390625
0,147,254,1601.2376708984375
0,147,255,1601.2353515625
0,147,256,1601.2342529296875
0,147,257,1601.23095703125
0,148,239,1601.2545166015625
0,148,240,1601.2537841796875
0,148,241,1601.25244140625
0,148,242,1601.251953125
0,148,243,1601.250732421875
0,148,244,1601.25
0,148,245,1601.2486572265625
0,148,246,1601.2479248046875
0,148,247,1601.2464599609375
0,148,248,1601.24560546875
0,148,249,1601.2442626953125
0,148,250,1601.2435302734375
0,148,251,1601.2421875
0,148,252,1601.241455078125
0,148,253,1601.239990234375
0,148,254,1601.2391357421875
0,148,255,1601.23779296875
0,148,256,1601.2371826171875
0,148,257,1601.2359619140625
0,149,239,1601.255615234375
0,149,240,1601.2545166015625
0,149,241,1601.25341796875
0,149,242,1601.2528076171875
0,149,243,1601.25146484375
0,149,244,1601.2508544921875
0,149,245,1601.24951171875
0,149,246,1601.248779296875
0,149,247,1601.247314453125
0,149,248,1601.2467041015625
0,149,249,1601.2449951171875
0,149,250,1601.2440185546875
0,149,251,1601.24267578125
0,149,252,1601.2420654296875
0,149,253,1601.24072265625
0,149,254,1601.2398681640625
0,149,255,1601.2388916015625
0,149,256,1601.238525390625
0,149,257,1601.2376708984375
0,150,238,1601.257568359375
0,150,239,1601.257080078125
0,150,240,1601.256103515625
0,150,241,1601.2550048828125
0,150,242,1601.25439453125
0,150,243,1601.2530517578125
0,150,244,1601.25244140625
0,150,245,1601.2510986328125
0,150,246,1601.250244140625
0,150,247,1601.248779296875
0,150,248,1601.2481689453125
0,150,249,1601.24658203125
0,150,250,1601.2457275390625
0,150,251,1601.2442626953125
0,150,252,1601.243408203125
0,150,253,1601.241943359375
0,150,254,1601.241455078125
0,150,255,1601.240478515625
